tick, sec, speed, distance, spdacm, x, y, energy
102, 1.700000, 1.044488, 57.773208, 56.742188, 556.742188, 109.000000, 1133249333.333333
103, 1.716667, 1.052775, 58.825984, 57.789063, 557.789063, 109.000000, 1133239333.333333
104, 1.733333, 1.061031, 59.887015, 58.839844, 558.839844, 109.000000, 1133229333.333333
105, 1.750000, 1.069257, 60.956272, 59.902344, 559.902344, 109.000000, 1133219333.333333
106, 1.766667, 1.077451, 62.033723, 60.968750, 560.968750, 109.000000, 1133209333.333333
107, 1.783333, 1.085615, 63.119337, 62.046875, 562.046875, 109.000000, 1133199333.333333
108, 1.800000, 1.093748, 64.213085, 63.132813, 563.132813, 109.000000, 1133189333.333333
109, 1.816667, 1.101850, 65.314935, 64.226563, 564.226563, 109.000000, 1133179333.333333
110, 1.833333, 1.109922, 66.424858, 65.328125, 565.328125, 109.000000, 1133169333.333333
111, 1.850000, 1.117964, 67.542822, 66.437500, 566.437500, 109.000000, 1133159333.333333
112, 1.866667, 1.125976, 68.668798, 67.558594, 567.558594, 109.000000, 1133149333.333333
113, 1.883333, 1.133957, 69.802755, 68.683594, 568.683594, 109.000000, 1133139333.333333
114, 1.900000, 1.141909, 70.944664, 69.816406, 569.816406, 109.000000, 1133129333.333333
115, 1.916667, 1.149831, 72.094495, 70.957031, 570.957031, 109.000000, 1133119333.333333
116, 1.933333, 1.157723, 73.252219, 72.109375, 572.109375, 109.000000, 1133109333.333333
117, 1.950000, 1.165586, 74.417805, 73.265625, 573.265625, 109.000000, 1133099333.333333
118, 1.966667, 1.173419, 75.591224, 74.433594, 574.433594, 109.000000, 1133089333.333333
119, 1.983333, 1.181223, 76.772446, 75.605469, 575.605469, 109.000000, 1133079333.333333
120, 2.000000, 1.188997, 77.961444, 76.785156, 576.785156, 109.000000, 1133069333.333333
121, 2.016667, 1.196743, 79.158186, 77.976563, 577.976563, 109.000000, 1133059333.333333
122, 2.033333, 1.204459, 80.362645, 79.171875, 579.171875, 109.000000, 1133049333.333333
123, 2.050000, 1.194041, 81.556686, 80.375000, 580.375000, 109.000000, 1133049333.333333
124, 2.066667, 1.183623, 82.740309, 81.570313, 581.570313, 109.000000, 1133049333.333333
125, 2.083333, 1.173207, 83.913516, 82.753906, 582.753906, 109.000000, 1133049333.333333
126, 2.100000, 1.162791, 85.076307, 83.929688, 583.929688, 109.000000, 1133049333.333333
127, 2.116667, 1.152376, 86.228684, 85.089844, 585.089844, 109.000000, 1133049333.333333
128, 2.133333, 1.141962, 87.370646, 86.242188, 586.242188, 109.000000, 1133049333.333333
129, 2.150000, 1.131549, 88.502196, 87.386719, 587.386719, 109.000000, 1133049333.333333
130, 2.166667, 1.121137, 89.623333, 88.515625, 588.515625, 109.000000, 1133049333.333333
131, 2.183333, 1.110726, 90.734058, 89.636719, 589.636719, 109.000000, 1133049333.333333
132, 2.200000, 1.100315, 91.834374, 90.750000, 590.750000, 109.000000, 1133049333.333333
133, 2.216667, 1.089906, 92.924279, 91.847656, 591.847656, 109.000000, 1133049333.333333
134, 2.233333, 1.079497, 94.003777, 92.937500, 592.937500, 109.000000, 1133049333.333333
135, 2.250000, 1.069090, 95.072866, 94.019531, 594.019531, 109.000000, 1133049333.333333
136, 2.266667, 1.058683, 96.131549, 95.085938, 595.085938, 109.000000, 1133049333.333333
